iter 6700/160000: loss=0.23296 grad_norm=15.5062 seconds_per_update=0.226 peak_gpu_gb=4.34
iter 6750/160000: loss=0.28036 grad_norm=2.4577 seconds_per_update=0.226 peak_gpu_gb=4.34
iter 6800/160000: loss=0.25632 grad_norm=2.6567 seconds_per_update=0.225 peak_gpu_gb=4.34
iter 6850/160000: loss=0.39594 grad_norm=2.3208 seconds_per_update=0.225 peak_gpu_gb=4.34
iter 6900/160000: loss=0.22957 grad_norm=1.8519 seconds_per_update=0.225 peak_gpu_gb=4.34
iter 6950/160000: loss=0.30858 grad_norm=4.3680 seconds_per_update=0.225 peak_gpu_gb=4.34
iter 7000/160000: loss=0.19760 grad_norm=0.7636 seconds_per_update=0.225 peak_gpu_gb=4.34
iter 7050/160000: loss=0.28594 grad_norm=9.3907 seconds_per_update=0.225 peak_gpu_gb=4.34
iter 7100/160000: loss=0.20578 grad_norm=3.0351 seconds_per_update=0.225 peak_gpu_gb=4.34
iter 7150/160000: loss=0.19371 grad_norm=0.9651 seconds_per_update=0.224 peak_gpu_gb=4.34
iter 7200/160000: loss=0.58479 grad_norm=7.2074 seconds_per_update=0.224 peak_gpu_gb=4.34
iter 7250/160000: loss=0.24942 grad_norm=8.8732 seconds_per_update=0.224 peak_gpu_gb=4.34
iter 7300/160000: loss=0.31801 grad_norm=1.3664 seconds_per_update=0.224 peak_gpu_gb=4.34
iter 7350/160000: loss=0.44647 grad_norm=5.2414 seconds_per_update=0.224 peak_gpu_gb=4.34
iter 7400/160000: loss=0.27960 grad_norm=1.5527 seconds_per_update=0.224 peak_gpu_gb=4.34
iter 7450/160000: loss=0.16500 grad_norm=2.6388 seconds_per_update=0.224 peak_gpu_gb=4.34
iter 7500/160000: loss=0.05971 grad_norm=0.5568 seconds_per_update=0.224 peak_gpu_gb=4.34
iter 7550/160000: loss=0.26124 grad_norm=1.2609 seconds_per_update=0.223 peak_gpu_gb=4.34
iter 7600/160000: loss=0.20998 grad_norm=1.5758 seconds_per_update=0.223 peak_gpu_gb=4.34
iter 7650/160000: loss=0.17277 grad_norm=2.0149 seconds_per_update=0.223 peak_gpu_gb=4.34
iter 7700/160000: loss=0.28527 grad_norm=3.7111 seconds_per_update=0.223 peak_gpu_gb=4.34
iter 7750/160000: loss=0.19073 grad_norm=1.9015 seconds_per_update=0.223 peak_gpu_gb=4.34
iter 7800/160000: loss=0.20921 grad_norm=2.9563 seconds_per_update=0.223 peak_gpu_gb=4.34
iter 7850/160000: loss=0.12399 grad_norm=5.7981 seconds_per_update=0.223 peak_gpu_gb=4.34
iter 7900/160000: loss=0.24271 grad_norm=2.0076 seconds_per_update=0.223 peak_gpu_gb=4.34
iter 7950/160000: loss=0.34692 grad_norm=19.1350 seconds_per_update=0.222 peak_gpu_gb=4.34
iter 8000/160000: loss=0.26370 grad_norm=9.6484 seconds_per_update=0.222 peak_gpu_gb=4.34
iter 8050/160000: loss=0.37319 grad_norm=2.6625 seconds_per_update=0.222 peak_gpu_gb=4.34
iter 8100/160000: loss=0.56728 grad_norm=12.9969 seconds_per_update=0.222 peak_gpu_gb=4.34
iter 8150/160000: loss=0.14083 grad_norm=1.4121 seconds_per_update=0.222 peak_gpu_gb=4.34
iter 8200/160000: loss=0.60430 grad_norm=34.2593 seconds_per_update=0.222 peak_gpu_gb=4.34
iter 8250/160000: loss=0.17325 grad_norm=2.6751 seconds_per_update=0.222 peak_gpu_gb=4.34
iter 8300/160000: loss=0.40032 grad_norm=5.8009 seconds_per_update=0.222 peak_gpu_gb=4.34
iter 8350/160000: loss=1.37490 grad_norm=20.1808 seconds_per_update=0.222 peak_gpu_gb=4.34
iter 8400/160000: loss=0.52279 grad_norm=4.9058 seconds_per_update=0.222 peak_gpu_gb=4.34
{"iter": 8400, "mIoU": 0.6909992694854736, "per_class_iou": {"1": 0.5695545673370361, "2": 0.8167059421539307, "3": 0.6942443251609802, "4": 0.8263095021247864, "5": 0.38391372561454773, "6": 0.8257745504379272, "7": 0.7147909998893738, "8": 0.6967005133628845}, "confusion": [[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 129713726, 15282477, 8282354, 2717489, 4208502, 25725663, 9937526, 923452], [0, 7998193, 123401924, 174500, 406696, 388628, 523318, 125476, 119481], [0, 10033030, 382948, 49559068, 26470, 35576, 1112235, 304896, 436392], [0, 910358, 10380, 18694, 36630168, 71116, 1029053, 1327681, 25], [0, 1807576, 32545, 24766, 125987, 5400537, 419141, 979416, 0], [0, 7104504, 2127947, 866819, 408654, 357444, 206099297, 915103, 111517], [0, 2959419, 42505, 36878, 647068, 215826, 2719305, 50653090, 0], [0, 141659, 80099, 91009, 0, 0, 62989, 0, 4517473]]}
iter 8450/160000: loss=0.18863 grad_norm=1.7936 seconds_per_update=0.230 peak_gpu_gb=4.34
iter 8500/160000: loss=0.22880 grad_norm=2.0751 seconds_per_update=0.229 peak_gpu_gb=4.34
iter 8550/160000: loss=0.23095 grad_norm=1.3847 seconds_per_update=0.229 peak_gpu_gb=4.34
iter 8600/160000: loss=0.31830 grad_norm=3.9596 seconds_per_update=0.229 peak_gpu_gb=4.34
iter 8650/160000: loss=0.10013 grad_norm=0.6712 seconds_per_update=0.229 peak_gpu_gb=4.34
iter 8700/160000: loss=0.33921 grad_norm=2.5964 seconds_per_update=0.229 peak_gpu_gb=4.34
iter 8750/160000: loss=0.83871 grad_norm=13.4113 seconds_per_update=0.229 peak_gpu_gb=4.34
iter 8800/160000: loss=0.05212 grad_norm=0.3941 seconds_per_update=0.229 peak_gpu_gb=4.34
iter 8850/160000: loss=0.21354 grad_norm=4.1914 seconds_per_update=0.228 peak_gpu_gb=4.34
iter 8900/160000: loss=0.52148 grad_norm=12.1436 seconds_per_update=0.228 peak_gpu_gb=4.34
iter 8950/160000: loss=0.30621 grad_norm=3.0789 seconds_per_update=0.228 peak_gpu_gb=4.34
iter 9000/160000: loss=0.16614 grad_norm=2.0597 seconds_per_update=0.228 peak_gpu_gb=4.34
iter 9050/160000: loss=0.19700 grad_norm=1.5085 seconds_per_update=0.228 peak_gpu_gb=4.34
iter 9100/160000: loss=0.81905 grad_norm=5.9903 seconds_per_update=0.228 peak_gpu_gb=4.34
iter 9150/160000: loss=0.14778 grad_norm=0.6294 seconds_per_update=0.228 peak_gpu_gb=4.34
iter 9200/160000: loss=0.07978 grad_norm=0.9475 seconds_per_update=0.228 peak_gpu_gb=4.34
iter 9250/160000: loss=0.31523 grad_norm=4.0995 seconds_per_update=0.227 peak_gpu_gb=4.34
iter 9300/160000: loss=0.13075 grad_norm=0.7065 seconds_per_update=0.227 peak_gpu_gb=4.34
iter 9350/160000: loss=0.17340 grad_norm=1.4067 seconds_per_update=0.227 peak_gpu_gb=4.34
iter 9400/160000: loss=0.18949 grad_norm=3.7947 seconds_per_update=0.227 peak_gpu_gb=4.34
iter 9450/160000: loss=0.44674 grad_norm=3.8512 seconds_per_update=0.227 peak_gpu_gb=4.34
iter 9500/160000: loss=0.17237 grad_norm=2.4650 seconds_per_update=0.227 peak_gpu_gb=4.34
iter 9550/160000: loss=0.25611 grad_norm=2.9958 seconds_per_update=0.227 peak_gpu_gb=4.34
iter 9600/160000: loss=0.27458 grad_norm=2.4543 seconds_per_update=0.227 peak_gpu_gb=4.34
iter 9650/160000: loss=0.32413 grad_norm=1.7120 seconds_per_update=0.226 peak_gpu_gb=4.34
iter 9700/160000: loss=0.67113 grad_norm=6.4083 seconds_per_update=0.226 peak_gpu_gb=4.34
iter 9750/160000: loss=0.54528 grad_norm=17.2238 seconds_per_update=0.226 peak_gpu_gb=4.34
iter 9800/160000: loss=0.28344 grad_norm=2.4055 seconds_per_update=0.226 peak_gpu_gb=4.34
iter 9850/160000: loss=0.15393 grad_norm=2.8348 seconds_per_update=0.226 peak_gpu_gb=4.34
iter 9900/160000: loss=0.03485 grad_norm=2.3544 seconds_per_update=0.226 peak_gpu_gb=4.34
iter 9950/160000: loss=0.42492 grad_norm=3.6707 seconds_per_update=0.226 peak_gpu_gb=4.34
iter 10000/160000: loss=0.43218 grad_norm=7.1443 seconds_per_update=0.226 peak_gpu_gb=4.34
iter 10050/160000: loss=0.27166 grad_norm=1.8077 seconds_per_update=0.226 peak_gpu_gb=4.34
iter 10100/160000: loss=0.06744 grad_norm=0.4613 seconds_per_update=0.226 peak_gpu_gb=4.34
iter 10150/160000: loss=0.38515 grad_norm=8.5643 seconds_per_update=0.225 peak_gpu_gb=4.34
iter 10200/160000: loss=0.06843 grad_norm=0.4089 seconds_per_update=0.225 peak_gpu_gb=4.34
iter 10250/160000: loss=0.63371 grad_norm=5.7759 seconds_per_update=0.225 peak_gpu_gb=4.34
iter 10300/160000: loss=0.44268 grad_norm=4.7384 seconds_per_update=0.225 peak_gpu_gb=4.34
iter 10350/160000: loss=0.52933 grad_norm=7.3248 seconds_per_update=0.225 peak_gpu_gb=4.34
iter 10400/160000: loss=0.15630 grad_norm=19.5097 seconds_per_update=0.225 peak_gpu_gb=4.34
iter 10450/160000: loss=0.13457 grad_norm=1.4205 seconds_per_update=0.225 peak_gpu_gb=4.34
